Last Price,Change,% Change,Volume,Open Interest,Strike,Last Price,Change,% Change,Volume,Open Interest
245.7,0,-,1,0,5,0.01,0,-,10,190
240.7,0,-,1,0,10,0.01,0,-,6,38
245.5,0,-,2,21,15,0.02,0,-,2,163
232.7,0,-,2,2,20,0.02,0,-,18,69
222.5,0,-,2,4,25,0.02,0,-,2,116
221.8,0,-,2,11,30,0.03,0,-,2,74
215.25,0,-,2,0,35,0.02,0,-,58,110
210.2,0,-,2,0,40,0.03,0,-,2,373
-,-,-,-,-,45,0.01,0,-,2,224
-,-,-,-,-,50,0.03,0,-,2,243
193.19,0,-,1,2,55,0.06,0,-,1,200
-,-,-,-,-,60,0.1,0,-,1,137
168.15,0,-,1,1,65,0.08,0,-,1,86
191.5,0,-,1,5,70,0.16,0,-,10,345
156.66,0,-,2,5,75,0.12,0,-,1,60
181.55,0,-,1,5,80,0.2,0,-,5,148
101.4,0,-,-,3,85,0.16,0,-,91,138
73.45,0,-,-,10,90,0.35,0,-,1,265
183.03,0,-,1,1,95,0.23,0,-,16,49
161.81,0,-,2,197,100,0.3,0,-,10,612
187.2,0,-,1,7,105,0.34,0,-,1,136
173.7,0,-,10,47,110,0.43,0,-,2,163
81.5,0,-,2,20,115,0.61,0,-,116,308
142.8,0,-,1,6,120,0.6,0,-,2,508
137.35,0,-,1,6,125,0.77,0,-,1,753
122.7,0,-,12,113,130,0.9,0,-,23,914
128.8,0,-,2,27,135,0.82,0,-,12,781
144.55,0,-,1,"1,531",140,1.28,0,-,36,529
120.3,0,-,2,127,145,1.27,0,-,8,245
132.95,0,-,2,709,150,1.66,0,-,29,846
98.4,0,-,10,0,155,2,0,-,1,"2,265"
106.4,0,-,5,753,160,2.32,0,-,6,"3,352"
116.37,0,-,1,"1,089",165,2.47,0,-,14,"1,128"
112.7,0,-,2,"1,152",170,2.86,0,-,3,"1,793"
107.85,0,-,1,513,175,3.62,0,-,5,"1,299"
85.02,0,-,3,"2,457",180,4.2,0,-,127,"3,083"
100.6,0,-,1,"2,024",185,4.7,0,-,228,"4,219"
76.44,0,-,44,287,190,5.35,0,-,86,"1,446"
74.2,0,-,3,"1,405",195,6.5,0,-,13,"2,603"
72.05,0,-,80,"2,219",200,7.5,0,-,99,"3,327"
64.05,0,-,101,215,205,5.95,0,-,2,480
60.2,0,-,12,691,210,9.4,0,-,255,"3,799"
56.5,0,-,1,82,215,10.44,0,-,13,447
53,0,-,14,"2,844",220,12.4,0,-,99,926
49.62,0,-,7,786,225,12.6,0,-,17,"2,269"
46.16,0,-,54,812,230,15.3,0,-,24,"1,881"
47.35,0,-,11,319,235,19.5,0,-,4,474
39.8,0,-,33,"1,260",240,18.58,0,-,29,"3,917"
37,0,-,20,314,245,20.05,0,-,42,"1,670"
36.2,0,-,104,"3,265",250,22.75,0,-,50,"2,902"
34.4,0,-,28,"1,866",255,26.3,0,-,11,907
30.85,0,-,99,"6,274",260,28,0,-,278,"6,607"
28.5,0,-,188,"22,328",265,31.22,0,-,71,"1,277"
26.5,0,-,101,"8,336",270,31.7,0,-,25,"5,562"
22.93,0,-,560,"1,256",275,34.52,0,-,13,"2,120"
21.55,0,-,247,"2,375",280,38.86,0,-,7,"1,543"
18.7,0,-,181,"7,079",285,41.16,0,-,4,402
17.04,0,-,176,"3,690",290,46.15,0,-,2,"2,902"
15.75,0,-,31,"3,474",295,49.7,0,-,12,74
14.79,0,-,370,"4,573",300,52.5,0,-,2,525
12.35,0,-,65,"10,419",305,57,0,-,3,44
11.77,0,-,44,763,310,60.65,0,-,14,175
9.95,0,-,61,"7,207",315,54.6,0,-,1,40
9.21,0,-,154,"2,375",320,68.5,0,-,16,57
8.45,0,-,53,554,325,71.65,0,-,3,123
7.45,0,-,148,"1,775",330,73.55,0,-,1,28
12.15,0,-,8,700,335,76.4,0,-,7,29
5.71,0,-,13,740,340,85.45,0,-,32,81
4.7,0,-,96,"1,123",350,92.85,0,-,12,198
3.65,0,-,18,"1,643",360,99.95,0,-,22,364
3.55,0,-,1,529,370,95.35,0,-,9,98
2.3,0,-,45,656,380,112.95,0,-,60,85
1.9,0,-,112,256,390,-,-,-,-,-
1.54,0,-,309,"1,467",400,145.05,0,-,-,20
1.28,0,-,4,325,410,158.75,0,-,-,40
1.12,0,-,6,103,420,146.15,0,-,10,30
0.97,0,-,25,272,430,161.64,0,-,42,52
0.81,0,-,33,703,440,177.65,0,-,30,50
0.64,0,-,8,24,460,193.25,0,-,10,11
0.49,0,-,1,12,480,-,-,-,-,-
0.41,0,-,484,810,500,-,-,-,-,-
0.54,0,-,-,108,520,-,-,-,-,-
0.3,0,-,3,8,560,-,-,-,-,-
